TO02206 1_200061073            42.767   11.015    2 Tos prec temp dirv velv umid txtn pres
TO02207 1_200061074            43.187   10.627   95 Tos prec temp dirv velv umid txtn pres
TO02208 1_200061079            43.350   10.522   60 Tos prec temp dirv velv umid txtn pres
TO02209 1_200061080            43.737   10.855   70 Tos prec temp dirv velv umid txtn pres
TO02210 1_200061087            43.222   10.595   36 Tos prec temp dirv velv umid txtn pres
TO02211 1_200061088            43.770   11.263   48 Tos prec temp dirv velv umid txtn pres
TO02212 1_200061090            43.908   11.083   93 Tos prec temp dirv velv umid txtn pres
TO02213 1_200061093            43.426    9.894  230 Tos prec temp dirv velv umid txtn pres
TO02214 1_200061094            43.526   11.733  275 Tos prec temp dirv velv umid txtn pres
TO02215 1_200061097            43.563   10.800  180 Tos prec temp dirv velv umid txtn pres
TO02216 1_200061098            43.896   10.242    5 Tos prec temp dirv velv umid txtn pres
TO02217 1_200061101            43.120   10.921  670 Tos prec temp dirv velv umid txtn pres
TO02218 1_200061103            43.769   10.383    3 Tos prec temp dirv velv umid txtn pres
TO02219 1_200061106            43.792   10.521  216 Tos prec temp dirv velv umid txtn pres
TO02220 1_200061107            43.745   10.554  890 Tos prec temp dirv velv umid txtn pres
TO02221 1_200061108            43.691   10.922   90 Tos prec temp dirv velv umid txtn pres
TO02222 1_200061109            42.949   11.438  193 Tos prec temp dirv velv umid txtn pres
TO02223 1_200061112            43.624   11.037  150 Tos prec temp dirv velv umid txtn pres
TO02224 1_200061113            43.666   10.745   29 Tos prec temp dirv velv umid txtn pres
TO02225 1_200061115            42.433   11.202    0 Tos prec temp dirv velv umid txtn pres
TO02226 1_200061122            43.778   10.588   83 Tos prec temp dirv velv umid txtn pres
TO02227 1_200061127            43.888   10.528   33 Tos prec temp dirv velv umid txtn pres
TO02228 1_200061133            43.478   10.347  180 Tos prec temp dirv velv umid txtn pres
TO02229 1_200061134            42.947   11.732  579 Tos prec temp dirv velv umid txtn pres
TO02230 1_200061137            42.704   11.144   25 Tos prec temp dirv velv umid txtn pres
TO02231 1_200061139            43.678   10.892  121 Tos prec temp dirv velv umid txtn pres
TO02232 1_200061148            43.748   12.274 1000 Tos prec temp dirv velv umid txtn pres
TO02233 1_200061149            43.590   10.543   41 Tos prec temp dirv velv umid txtn pres
TO02234 1_200061152            42.787   11.175   49 Tos prec temp dirv velv umid txtn pres
TO02235 1_200061154            43.064   10.685   36 Tos prec temp dirv velv umid txtn pres
TO02236 1_200061157            43.963   11.147  299 Tos prec temp dirv velv umid txtn pres
TO02237 1_200061160            43.734   11.781  419 Tos prec temp dirv velv umid txtn pres
TO02238 2_117600               43.588   12.047  361 Tos prec temp dirv velv umid txtn pres
TO02239 2_150800               44.054   10.905  688 Tos prec temp dirv velv umid txtn pres
TO02240 2_199200               42.594   11.565  383 Tos prec temp dirv velv umid txtn pres
TO02241 2_200400               42.883   11.667  866 Tos prec temp dirv velv umid txtn pres
TO02242 2_209600               44.342   10.140 1216 Tos prec temp dirv velv umid txtn pres
TO02243 2_233300               43.688   12.134  846 Tos prec temp dirv velv umid txtn pres
TO02244 2_248000               44.129   11.513  576 Tos prec temp dirv velv umid txtn pres
TO02245 2_248400               44.039   11.518  751 Tos prec temp dirv velv umid txtn pres
TO02246 2_250000               44.078   11.615  325 Tos prec temp dirv velv umid txtn pres
TO02247 2_287500               44.057   11.398  716 Tos prec temp dirv velv umid txtn pres
TO02248 2_287700               44.138   11.499  814 Tos prec temp dirv velv umid txtn pres
TO02249 2_290200               44.214   11.434  583 Tos prec temp dirv velv umid txtn pres
TO02250 2_290300               44.122   11.381  424 Tos prec temp dirv velv umid txtn pres
TO02251 2_290400               44.116   11.548  446 Tos prec temp dirv velv umid txtn pres
TO02252 2_290700               44.081   11.036  599 Tos prec temp dirv velv umid txtn pres
TO02253 2_391300               42.713   11.631  389 Tos prec temp dirv velv umid txtn pres
