IDStazione Regione Latitudine Longitudine TimeLead Osservazione
1_469800 sicilia 37.654999 14.528334 2020091 117.90000300000001
1_469900 sicilia 37.304699 13.5889 2020091 66.699998
1_470100 sicilia 37.706699 14.1144 2020091 43.699999
1_470200 ? 37.23 15.2278 2020091 125.700002
1_470500 sicilia 37.935299 13.6575 2020091 37.000001000000005
1_470600 sicilia 37.9067 12.8761 2020091 58.10000000000001
1_470700 sicilia 37.240601 14.5186 2020091 28.299999000000003
1_470800 sicilia 37.49641 14.056939999999999 2020091 10.200000000000001
1_471000 sicilia 37.266102000000004 13.9189 2020091 58.200003
1_471100 sicilia 37.359699 13.8611 2020091 29.7
1_471300 sicilia 38.096901 15.2078 2020091 64.4
1_471500 sicilia 37.575802 14.6919 2020091 62.4
1_471600 sicilia 37.4389 13.3842 2020091 54.399998999999994
1_471700 sicilia 38.034698 14.0236 2020091 49.800000000000004
1_471800 sicilia 37.806098999999996 14.5056 2020091 38.8
1_471900 sicilia 37.029701 14.7094 2020091 55.59999
1_472000 sicilia 37.0522 15.2364 2020091 91.500001
1_472100 sicilia 38.154999 13.114445000000002 2020091 10.2
1_472200 sicilia 37.738098 13.1325 2020091 133.30000299999998
1_472400 sicilia 37.5686 14.2683 2020091 60.40000000000001
1_472600 sicilia 37.8633 14.1539 2020091 63.099999
1_472700 sicilia 36.785599 14.9169 2020091 65.400001
1_472800 sicilia 37.753215999999995 13.592898000000002 2020091 51.4
1_472900 sicilia 37.100983 13.933005 2020091 16.5
1_473000 sicilia 37.829399 15.1506 2020091 70.60000099999999
1_473100 sicilia 37.600552 13.913492999999999 2020091 47.29999599999999
1_473400 sicilia 38.202498999999996 15.5533 2020091 55.599999999999994
1_473600 sicilia 37.926701 14.3569 2020091 36.0
1_473700 sicilia 37.755299 14.4025 2020091 38.900000000000006
1_473800 sicilia 38.116402 13.3006 2020091 31.699999999999996
1_474000 sicilia 37.410579999999996 14.38396 2020091 39.3
1_474200 sicilia 37.381401000000004 14.6958 2020091 33.199999999999996
1_474300 sicilia 37.503899 13.2747 2020091 46.800001
1_474600 sicilia 36.835602 14.5303 2020091 60.70000100000001
1_474700 sicilia 37.699574 13.02225 2020091 74.80000199999999
1_474800 sicilia 37.780246999999996 12.879536 2020091 91.099996
1_474900 sicilia 37.831402000000004 12.8147 2020091 89.899999
1_475000 sicilia 38.013275 14.596226000000001 2020091 47.7
1_475100 sicilia 37.8708 13.9233 2020091 114.49999799999998
1_475300 sicilia 37.949699 13.7836 2020091 25.199999999999996
1_475500 sicilia 38.0811 15.1044 2020091 56.000001000000005
1_475700 sicilia 37.976397999999996 14.2372 2020091 20.3
1_475800 sicilia 37.827498999999996 13.5431 2020091 13.4
1_475900 sicilia 36.9422 14.5294 2020091 30.100000000000005
1_476000 sicilia 37.162498 14.7494 2020091 83.4
1_476100 sicilia 37.755299 13.9864 2020091 66.8
1_476200 sicilia 37.696899 15.1078 2020091 41.800001
1_484700 umbria 42.848099 12.0644 2020091 146.00000299999996
1_484800 umbria 42.8908 12.9303 2020091 142.99999699999998
1_484900 umbria 42.5667 12.7667 2020091 123.79999899999999
1_485000 umbria 42.4161 12.5614 2020091 52.999998999999995
1_485100 umbria 42.519402 12.2911 2020091 73.4
1_485400 umbria 42.813598999999996 13.2122 2020091 105.39999999999999
1_485500 umbria 42.764998999999996 12.2336 2020091 33.600001
1_457800 campania 40.79361 14.163889000000001 2020091 73.200006
1_449500 valle-aosta 45.644698999999996 7.485 2020091 23.800041999999998
1_458200 campania 41.422222 15.040833 2020091 95.599974
1_458400 campania 40.131943 15.458611 2020091 125.0
1_457400 campania 41.196388 13.838332999999999 2020091 120.000068
1_457500 campania 40.861946 15.281944000000001 2020091 136.999963
1_458000 campania 40.64389 14.836667000000002 2020091 117.80000700000001
1_456900 campania 40.646946 14.540556 2020091 159.200012
1_457200 campania 41.115002000000004 14.825 2020091 82.799985
1_457000 campania 41.196667 15.136110999999998 2020091 90.40005400000001
1_457900 campania 40.561943 15.236944 2020091 131.000008
1_455900 campania 40.512221999999994 15.042778 2020091 132.40000600000002
1_454700 campania 40.880001 15.029445 2020091 177.80001399999998
1_454300 campania 40.468613 14.965834 2020091 150.80004300000004
1_455100 campania 40.941387 14.625278 2020091 141.40000600000002
1_455600 campania 40.779999 14.573334 2020091 111.600009
1_455500 campania 40.604721000000005 15.2925 2020091 157.199998
1_453400 campania 40.476112 15.170278 2020091 156.800004
1_454500 campania 41.0275 14.486111 2020091 93.20008000000001
1_453600 campania 40.65361 14.463889000000002 2020091 184.600007
1_453900 campania 40.394444 15.603056 2020091 113.400002
1_456000 campania 40.637501 15.351666 2020091 122.000004
1_455300 campania 41.259724 14.8975 2020091 69.59996900000002
1_456100 campania 41.102501000000004 14.463889000000002 2020091 120.400085
1_454800 campania 41.405834000000006 13.89 2020091 110.599955
1_457700 campania 40.255554 15.660276999999999 2020091 166.60000499999998
1_454100 campania 40.875 14.560832999999999 2020091 100.40001099999999
1_453200 campania 41.124722 14.970834 2020091 64.799984
1_455800 campania 40.133888 15.543889000000002 2020091 84.40000400000001
1_453300 campania 40.662498 14.983889000000001 2020091 122.60000099999999
1_454000 campania 40.23 15.2625 2020091 115.600016
1_456200 campania 41.3825 14.172778 2020091 137.39995700000003
1_455700 campania 40.391109 15.571667000000001 2020091 124.20000499999998
1_454900 campania 40.257778 15.13 2020091 139.00000799999998
1_457600 campania 40.838612 15.039444 2020091 260.19996100000003
1_455200 campania 41.09111 15.053610999999998 2020091 52.99999500000001
1_455400 campania 41.108891 14.208332999999998 2020091 85.00000400000002
1_456300 campania 40.959167 14.540833 2020091 115.00000600000001
1_454400 campania 41.335278 14.666110999999999 2020091 175.200076
1_453700 campania 40.630554 14.503333 2020091 148.199997
1_454600 campania 41.453888 14.253055999999999 2020091 155.400203
1_512500 campania 40.824721999999994 14.711110999999999 2020091 151.20000299999998
1_513900 campania 40.835278 14.595278 2020091 113.000001
1_513300 campania 40.855 14.657222 2020091 204.80001299999998
1_513800 campania 40.244167 15.553332999999999 2020091 134.00000599999998
1_512400 basilicata 40.728611 15.714444 2020091 93.400026
1_513500 campania 40.216389 15.434444000000001 2020091 122.400014
1_514100 campania 40.320834999999995 15.057777 2020091 107.799997
1_512700 campania 40.291389 15.226110999999998 2020091 176.40000400000002
1_513100 basilicata 40.759724 15.478889 2020091 120.399958
1_513000 campania 40.279446 15.704166 2020091 126.80000199999999
1_513600 campania 40.128056 15.288610999999998 2020091 115.600008
1_514200 campania 40.115833 15.627778 2020091 110.000005
1_458300 campania 41.246944 14.472776999999999 2020091 138.799953
1_457100 campania 41.022498999999996 14.335834 2020091 147.59995599999996
1_457300 campania 41.424721000000005 13.880278 2020091 96.999967
1_453800 campania 40.785 14.786667000000001 2020091 149.000013
1_652300 puglia 41.606667 15.067 2020091 38.199999999999996
1_540200 liguria 44.068748 8.17956 2020091 44.399998999999994
1_540600 liguria 44.249901 9.84 2020091 99.8
1_540800 liguria 44.132019 8.11888 2020091 57.4
1_541400 liguria 44.520142 8.98586 2020091 131.799998
1_541800 liguria 44.400349 8.945910000000001 2020091 90.400001
1_541900 liguria 44.434391 8.961089999999999 2020091 132.39999899999998
1_542000 liguria 44.462680999999996 9.39525 2020091 159.00000299999996
1_543400 liguria 44.051998 9.835939999999999 2020091 90.20000100000001
1_543800 liguria 44.2747 9.65964 2020091 92.800001
